Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
108;Muzeum Miasta Zgierza;95-100;Zgierz;Zgierz;zgierski;£”DZKIE;ul.;gen. Jana Henryka Dπbrowskiego;21;;;;;;;;Gmina Miasto Zgierz;;;;;Samorzπdowe;;
109;Muzeum Miedzi w Legnicy;59-220;Legnica;Tyniec Legnicki;legnicki;DOLNOåL•SKIE;ul.;PartyzantÛw;3;;;;;;;;Gmina Legnica;;;;;Samorzπdowe;;
110;Muzeum Miejskie Dzierøoniowa ;58- 200;DzierøoniÛw;DzierøoniÛw;dzierøoniowki;DOLNOåL•SKIE;ul.;åwidnicka;30;;;;;;;;Gmina Miejska DzierøoniÛw;;;;;Samorzπdowe;;
111;Muzeum Miejskie w Bieruniu (w organizacji);43-150;BieruÒ;BieruÒ; bieruÒsko-lÍdziÒski;åL•SKIE;ul.;Rynek;14;;;;;;;;Gmina BieruÒ;;;;;Samorzπdowe;;
112;Muzeum Miejskie w Nowej Soli;67-100;Nowa SÛl;Nowa SÛl;nowosolski;LUBUSKIE;ul.;Muzealna;20;;;;;;;;Gmina miejska Nowa SÛl ;;;;;Samorzπdowe;;
113;Muzeum Miejskie w Siemianowicach ålπskich;41-100;Siemianowice ålπskie;Siemianowice ålπskie;m. Siemianowice ålπskie;åL•SKIE;ul.;Chopina;6;;;;;;;;Miasto na prawach powiatu Siemianowice ålπskie;;;;;Samorzπdowe;;
114;Muzeum Miejskie Suchej Beskidzkiej;34-200;Sucha Beskidzka;KrzeszÛw;suski;MA£OPOLSKIE;ul.;Zamkowa;1;;;;;;;;Gmina Sucha Beskidzka;;;;;Samorzπdowe;;
115;Muzeum Miejskie w Tychach;43-100;Tychy;Tychy;m. Tychy;åL•SKIE;ul.;Katowicka;9;;;;;;;;Miasto Tychy;;;;;Samorzπdowe;;
116;Muzeum Miejskie w Zabrzu;41-800;Zabrze;Zabrze;m. Zabrze;åL•SKIE;ul.;3 Maja ;91;;;;;;;;Miasto Zabrze;;;;;Samorzπdowe;;
117;Muzeum Miejskie w Øorach;44-240;Øory;Øory;m. Øory;åL•SKIE;ul.;Muzealna;1;2;;;;;;;Gmina Miejska Øory;;;;;Samorzπdowe;;
118;Muzeum Miejskie w Øywcu;34-300;Øywiec;Øywiec;øywiecki;åL•SKIE;ul.;Zamkowa;2;;;;;;;;Miasto Øywiec ;;;;;Samorzπdowe;;
119;"Muzeum Miejskie ""Dom Gerharta Hauptmanna"" w Jeleniej GÛrze";58-570;Jelenia GÛra;Jelenia GÛra;m. Jelenia GÛra;DOLNOåL•SKIE;ul.;Micha≥owicka;32;;;;;;;;Miasto Jelenia GÛra;;;;;Samorzπdowe;;
120;"Muzeum Miejskie ""Sztygarka"" w†Dπbrowie GÛrniczej";41-300;Dπbrowa GÛrnicza;Dπbrowa GÛrnicza;m. Dπbrowa GÛrnicza;åL•SKIE;ul.;LegionÛw Polskich;69;;;;;;;;Miasto Dπbrowa GÛrnicza;;;;;Samorzπdowe;;
121;Muzeum Miejskie im. Maksymiliana Chroboka w Rudzie ålπskiej;41-700;Ruda ålπska;Ruda ålπska;m. Ruda ålπska;åL•SKIE;ul.;Wolnoúci;26;;;;;;;;Miasto Ruda ålπska;;;;;Samorzπdowe;;
122;Muzeum Miejskie Wroc≥awia;50-107;Wroc≥aw;Wroc≥aw (Wroc≥aw-Stare Miasto);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Sukiennice;14;15;;;;;;;Gmina Wroc≥aw;;;;;Samorzπdowe;;
123;Muzeum Miko≥aja Kopernika we†Fromborku;14-530;Frombork;Frombork;braniewski;WARMI—SKO-MAZURSKIE;ul.;Katedralna;8;;;;;;;;WojewÛdztwo WarmiÒsko ñ Mazurskie ;;;;2009-12-30;Samorzπdowe;;
124;Muzeum - NadwiúlaÒski Park Etnograficzny w Wygie≥zowie i Zamek Lipowiec;32-551;Babice Wygie≥zÛw;Babice;chrzanowski;MA£OPOLSKIE;ul.;Podzamcze;1;;;;;;;;WojewÛdztwo Ma≥opolskie; Gmina ChrzanÛw ;;;2011-01-31;Samorzπdowe;;
125;Muzeum NadwiúlaÒskie w Kazimierzu Dolnym;24-120;Kazimierz Dolny;Kazimierz Dolny;pu≥awski;LUBELSKIE;ul.;Rynek;19;;;;;;;;WojewÛdztwo Lubelskie; Miasto Pu≥awy;;;1998-12-28;Samorzπdowe;;
126;Muzeum Narodowe Rolnictwa i†Przemys≥u Rolno-Spoøywczego w Szreniawie;62-052;Komorniki;Walerianowo;poznaÒski;WIELKOPOLSKIE;ul.;Dworcowa;5;;;;;;;;WojewÛdztwo Wielkopolskie; Minister Rolnictwa i†Rozwoju Wsi;;;1998-12-28;Samorzπdowe;;
127;Muzeum Niepodleg≥oúci w Warszawie;00-240;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;al.;Solidarnoúci;62;;;;;;;;WojewÛdztwo Mazowieckie;;;;1998-05-18;Samorzπdowe;;
128;Muzeum Niepo≥omickie w Niepo≥omicach;32-005;Niepo≥omice;Niepo≥omice;wielicki;MA£OPOLSKIE;ul.;Zamkowa;2;;;;;;;;Gmina Niepo≥omice;;;;;Samorzπdowe;;
129;Muzeum ObozÛw Jenieckich w Øaganiu ;68-100;ØagaÒ;Brzeünica;øagaÒski;LUBUSKIE;ul.;LotnikÛw Alianckich;6;;;;;;;;Miasto ØagaÒ;;;;;Samorzπdowe;;
130;Muzeum OkrÍgowe im. Leona WyczÛ≥kowskiego w Bydgoszczy;85-006;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;GdaÒska;4;;;;;;;;Miasto Bydgoszcz;;;;2009-12-30;Samorzπdowe;;
131;Muzeum OkrÍgowe im. Stanis≥awa Staszica w Pile;64-920;Pi≥a;Pi≥a;pilski;WIELKOPOLSKIE;ul.;Browarna;7;;;;;;;;WojewÛdztwo Wielkopolskie;;;;1998-12-28;Samorzπdowe;;
132;Muzeum OkrÍgowe w Koninie;62-505;Konin;Konin;m. Konin;WIELKOPOLSKIE;ul.;Muzealna;5;;;;;;;;WojewÛdztwo Wielkopolskie;;;;;Samorzπdowe;;
133;Muzeum OkrÍgowe w Lesznie;64-100;Leszno;Leszno;m. Leszno;WIELKOPOLSKIE;pl.;Jana Metziga;17;;;;;;;;WojewÛdztwo Wielkopolskie;;;;2008-12-30;Samorzπdowe;;
134;Muzeum OkrÍgowe w Nowym Sπczu;33-300;Nowy Sπcz;Nowy Sπcz;m. Nowy Sπcz;MA£OPOLSKIE;ul.;JagielloÒska;56;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;2006-07-07;Samorzπdowe;;
135;Muzeum OkrÍgowe w Rzeszowie;35-030;RzeszÛw;RzeszÛw;m. RzeszÛw;PODKARPACKIE;ul.;3 Maja ;19;;;;;;;;WojewÛdztwo Podkarpackie ;;;;1998-05-18;Samorzπdowe;;
136;Muzeum OkrÍgowe w Sieradzu;98-200;Sieradz;Sieradz;sieradzki;£”DZKIE;ul.;DominikaÒska;2;;;;;;;;Powiat Sieradzki ;;;;;Samorzπdowe;;
137;Muzeum OkrÍgowe w Suwa≥kach;16-400;Suwa≥ki;Suwa≥ki;m. Suwa≥ki;PODLASKIE;ul.;T. Koúciuszki;81;;;;;;;;Miasto Suwa≥ki;;;;2014-02-12;Samorzπdowe;;
138;Muzeum OkrÍgowe w Tarnowie;33-100;TarnÛw;TarnÛw;m. TarnÛw;MA£OPOLSKIE;ul.;Rynek;3;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;2002-11-28;Samorzπdowe;;
139;Muzeum OkrÍgowe w Toruniu;87-100;ToruÒ;ToruÒ;m. ToruÒ;KUJAWSKO-POMORSKIE;ul.;Rynek Staromiejski;1;;;;;;;;Gmina Miasta ToruÒ;;;;1998-12-28;Samorzπdowe;;
140;Muzeum OkrÍgowe Ziemi Kaliskiej w†Kaliszu;62-800;Kalisz;Kalisz;kaliski;WIELKOPOLSKIE;ul.;T. Koúciuszki;12;;;;;;;;WojewÛdztwo Wielkopolskie;;;;1998-12-28;Samorzπdowe;;
141;Muzeum - Orawski Park Etnograficzny w Zubrzycy GÛrnej;34-484;Zubrzyca GÛrna;Zubrzyca GÛrna;nowotarski;MA£OPOLSKIE;;Zubrzyca GÛrna;388;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;2011-01-31;Samorzπdowe;;
142;Muzeum OrÍøa Polskiego w Ko≥obrzegu;78-100;Ko≥obrzeg;Ko≥obrzeg;ko≥obrzeski;ZACHODNIOPOMORSKIE;ul.;Armii Krajowej;13;;;;;;;;Powiat Ko≥obrzeski;;;;1998-05-18;Samorzπdowe;;
143;Muzeum PamiÍci Narodowej i Sztuki Ludowej w Ochotnicy GÛrnej (w†organizacji);34-453;Ochotnica Dolna;Ochotnica Dolna;nowotarski;MA£OPOLSKIE;oú. ;Zawady;205 B;;;;;;;;Gmina Ochotnica Dolna ;;;;;Samorzπdowe;;
144;Muzeum Pamiπtek 1. Armii Wojska Polskiego oraz DziejÛw Ziemi Mieszkowickiej w Mieszkowicach;74-505;Mieszkowice;Mieszkowice;gryfiÒski;ZACHODNIOPOMORSKIE;ul.;Chopina;1;;;;;;;;Gmina Mieszkowice;;;;;Samorzπdowe;;
145;Muzeum PamiÍci Sybiru ;15-092;Bia≥ystok;Bia≥ystok;m. Bia≥ystok;PODLASKIE;ul. ;H. Sienkiewicza;26;;;;;;;;Miasto Bia≥ystok ;;;;;Samorzπdowe;;
146;Muzeum Papiernictwa w Dusznikach Zdroju;57-340;Duszniki ZdrÛj;Duszniki-ZdrÛj;k≥odzki;DOLNOåL•SKIE;ul.;K≥odzka;42;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;2013-06-28;Samorzπdowe;;
147;Muzeum Piaseczna w Piasecznie (w organizacji);;;;;;;;;;;;;;;;Gmina Piaseczno;;;;;Samorzπdowe;;
148;Muzeum Pierwszych PiastÛw na Lednicy;62-261;LednogÛra;Imielenko;gnieünieÒski;WIELKOPOLSKIE;ul.;Dziekanowice;32;;;;;;;; WojewÛdztwo Wielkopolskie;;;;1999-12-28;Samorzπdowe;;
149;Muzeum Piúmiennictwa i Muzyki Kaszubsko-Pomorskiej w Wejherowie;84-200;Wejherowo;Boøepole Wielkie;wejherowski;POMORSKIE;ul.;Zamkowa;2a;;;;;;;;Powiat Wejherowski;WojewÛdztwo Pomorskie;;;2006-07-07;Samorzπdowe;;
150;Muzeum PoczπtkÛw PaÒstwa Polskiego w Gnieünie;62-200;Gniezno;Gniezno;gnieünieÒski;WIELKOPOLSKIE;ul.;Kostrzewskiego;1;;;;;;;;WojewÛdztwo Wielkopolskie;;;;1998-07-06;Samorzπdowe;;
151;Muzeum Poczty i Telekomunikacji we Wroc≥awiu;50-954;Wroc≥aw;Wroc≥aw;wroc≥awki;DOLNOåL•SKIE;ul.;Z. KrasiÒskiego;1;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;;Samorzπdowe;;
152;Muzeum Podkarpackie w Kroúnie;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Pi≥sudskiego;16;;;;;;;;WojewÛdztwo Podkarpackie ;;;;2003-12-18;Samorzπdowe;;
153;Muzeum Pogranicza ålπsko ñ £uøyckiego w Øarach ;68-200;Øary;Øary;øarski;LUBUSKIE;pl.;Kardyna≥a Stefana WyszyÒskiego;2;;;;;;;;Gmina Øary o statusie miejskim;;;;;Samorzπdowe;;
154;Muzeum Pojezierza £ÍczyÒsko-W≥odawskiego we W≥odawie;22-200;W≥odawa;W≥odawa;w≥odawski;LUBELSKIE;ul.;Czerwonego Krzyøa;7;;;;;;;;Powiat W≥odawski;;;;;Samorzπdowe;;
155;Muzeum Pojezierza Myúliborskiego w Myúliborzu;74-300;MyúlibÛrz;MyúlibÛrz;myúliborski;ZACHODNIOPOMORSKIE;ul.;BohaterÛw Warszawy;74;;;;;;;;Gmina MyúlibÛrz ;;;;;Samorzπdowe;;
156;Muzeum Polskiej Piosenki w Opolu ;45ñ040;Opole;Opole;m. Opole;OPOLSKIE;pl.;Miko≥aja Kopernika;1;;;;;;;;Miasto Opole;;;;;Samorzπdowe;;
157;Muzeum Po≥udniowego Podlasia w†Bia≥ej Podlaskiej;21-500;Bia≥a Podlaska;Hrud;bialski;LUBELSKIE;ul.;Warszawska;12;;;;;;;;Gmina Miejska Bia≥a Podlaska ;;;;1998-12-28;Samorzπdowe;;
158;Muzeum Pomorza årodkowego w†S≥upsku;76-200;S≥upsk;S≥upsk;m. S≥upsk;POMORSKIE;ul.;DominikaÒska;5;-9;;;;;;;WojewÛdztwo Pomorskie ;;;;1998-07-06;Samorzπdowe;;
159;Muzeum Powstania Warszawskiego;00-844;Warszawa;Warszawa (Wola);m. st. Warszawa;MAZOWIECKIE;ul.;Grzybowska;79;;;;;;;;Miasto Sto≥eczne Warszawa;;;;2005-09-21;Samorzπdowe;;
160;Muzeum PowstaÒcÛw Wielkopolskich im. Genera≥a JÛzefa Dowbora Muúnickiego w Lusowie (w organizacji);62-080;Lusowo;Tarnowo PodgÛrne;poznaÒski;WIELKOPOLSKIE;ul.;Ogrodowa;3a;;;;;;;;Gmina Tarnowo PodgÛrne;;;;;Samorzπdowe;;
161;Muzeum PowstaÒ ålπskich w†åwiÍtoch≥owicach ;41-600;åwiÍtoch≥owice;åwiÍtoch≥owice;m. åwiÍtoch≥owice;åL•SKIE;ul.;Szpitalna;2;;;;;;;;Gmina åwiÍtoch≥owice ;;;;;Samorzπdowe;;
162;Muzeum Poøarnictwa w Czeúnikach;22-424;Sitno;Sitno;Zamojski;LUBELSKIE;;Sitno;73;;;;;;;;Gmina Sitno;;;;;Samorzπdowe;;
163;Muzeum Poøarnictwa w Oseredku ;22-672 ;Susiec;Susiec;tomaszowski;LUBELSKIE;;Oseredek;123;;;;;;;;Gmina Susiec;;;;;Samorzπdowe;;
164;Muzeum PÛ≥nocno ñ Mazowieckie w†£omøy;18-400;£omøa;£omøa;m. £omøa;PODLASKIE;ul.;Dworna;22C;;;;;;;;Miasto £omøa ;;;;2011-07-15;Samorzπdowe;;
165;Muzeum Przyrodnicze w Jeleniej GÛrze;58-560;Jelenia GÛra;Wojcieszyce;jeleniogÛrski;DOLNOåL•SKIE;ul.;Cieplicka;11A;;;;;;;;Miasto Jelenia GÛra ;;;;;Samorzπdowe;;
166;Muzeum Przyrody ñ DwÛr Lutos≥awskich w Drozdowie;18-421;Piπtnica;Drozdowo;≥omøyÒski;PODLASKIE;ul.;G≥Ûwna;38;;;;;;;;Powiat £omøyÒski ;;;;;Samorzπdowe;;
167;Muzeum Przyrody i Techniki Ekomuzeum im. Jana Pazdura w Starachowicach;27-200;Starachowice;Starachowice;starachowicki;åWI TOKRZYSKIE;ul.;Wielkopiecowa;1;;;;;;;;Powiat Starachowicki ;;;;;Samorzπdowe;;
168;Muzeum Puszczy Drawskiej i Noteckiej im. Franciszka Grasia w Drezdenku;66-530;Drezdenko;Drezdenko;strzelecko-drezdenecki;LUBUSKIE;pl.;Wolnoúci;11;;;;;;;;Gmina Drezdenko ;;;;;Samorzπdowe;;
169;Muzeum Regionalne im. Adama Fastnachta w Brzozowie;36-200;BrzozÛw;BrzozÛw;brzozowski;PODKARPACKIE;ul.;Rynek;10;;;;;;;;Gmina BrzozÛw;;;;;Samorzπdowe;;
170;Muzeum Regionalne im. dr. Henryka Florkowskiego w Koúcianie;64-000;Koúcian;Koúcian;koúciaÒski;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Miejska Koúcian;;;;;Samorzπdowe;;
171;Muzeum Regionalne im. dr. Janusza Petera w Tomaszowie Lubelskim;22-600;TomaszÛw Lubelski;TomaszÛw Lubelski;tomaszowski;LUBELSKIE;ul.;Zamojska;2;;;;;;;;Powiat Tomaszowski (TomaszÛw Lubelski);;;;;Samorzπdowe;;
172;Muzeum Regionalne im. Dzieci WrzesiÒskich we Wrzeúni ;62-300;Wrzeúnia;Wrzeúnia;wrzesiÒski;WIELKOPOLSKIE;ul.;Dzieci WrzesiÒskich;13;;;;;;;;Miasto i Gmina Wrzeúnia;;;;;Samorzπdowe;;
173;Muzeum Regionalne im. Hieronima £awniczaka w Krotoszynie;63-700;Krotoszyn;Krotoszyn;krotoszyÒski;WIELKOPOLSKIE;ul.;Ma≥y Rynek;1;;;;;;;;Miasto i Gmina Krotoszyn;;;;;Samorzπdowe;;
174;Muzeum Regionalne im. prof. Tomasza Mikockiego w Kozienicach;26-900;Kozienice;Kozienice;kozienicki;MAZOWIECKIE;ul.;Parkowa;5B;;;;;;;;Gmina Kozienice;;;;;Samorzπdowe;;
175;Muzeum Regionalne im. Stanis≥awa Sankowskiego w Radomsku ;97-500;Radomsko;Radomsko;radomszczaÒski;£”DZKIE;ul.;Narutowicza;1;;;;;;;;Miasto Radomsko ;;;;;Samorzπdowe;;
176;Muzeum Regionalne im. Walentyny Dermackiej z SapiehÛw w Pieckach (w organizacji);11-710;Piecki;Piecki;mrπgowski;WARMI—SKO-MAZURSKIE;ul.;ZwyciÍstwa;48;;;;;;;;Gmina Piecki;;;;;Samorzπdowe;;
177;Muzeum Regionalne im. W≥. St. Reymonta w Lipcach Reymontowskich;96-127;Lipce Reymontowskie;Lipce Reymontowskie;skierniewicki;£”DZKIE;ul.;Wiatraczna;10;;;;;;;;Powiat Skierniewicki;;;;;Samorzπdowe;;
178;Muzeum Regionalne im. Zygmunta KrasiÒskiego w Z≥otym Potoku;42-253;Z≥oty Potok (poczta JanÛw);JanÛw;czÍstochowski;åL•SKIE;ul.;Tadeusza Koúciuszki;11;;;;;;;;Gmina JanÛw;;;;;Samorzπdowe;;
179;Muzeum Regionalne w Be≥chatowie;97-400;Be≥chatÛw;Be≥chatÛw;be≥chatowski;£”DZKIE;ul.;Rodziny HellwigÛw;11;;;;;;;;Miasto Be≥chatÛw;;;;;Samorzπdowe;;
180;Muzeum Regionalne w Brzezinach;95-060;Brzeziny;Brzeziny;brzeziÒski;£”DZKIE;ul.;Pi≥sudskiego;49;;;;;;;;Gmina Miasto Brzeziny;;;;;Samorzπdowe;;
181;Muzeum Regionalne w Cedyni (w organizacji);74-520;Cedynia;Cedynia;gryfiÒski;ZACHODNIOPOMORSKIE;pl.;Wolnoúci;4;;;;;;;;Gmina Cedynia;;;;;Samorzπdowe;;
182;Muzeum Regionalne w Chojnowie;59-225;ChojnÛw;ChojnÛw;legnicki;DOLNOåL•SKIE;pl.;Zamkowy;3;;;;;;;;Miasto ChojnÛw;;;;;Samorzπdowe;;
183;Muzeum Regionalne w Cz≥uchowie;77-300;Cz≥uchÛw;Cz≥uchÛw;cz≥uchowski;POMORSKIE;al.;Wojska Polskiego;3;;;;;;;;Gmina Miejska Cz≥uchÛw;;;;;Samorzπdowe;;
184;Muzeum Regionalne w DÍbicy;39-200;DÍbica;DÍbica;dÍbicki;PODKARPACKIE;ul.;Ratuszowa;4;;;;;;;;Gmina Miasta DÍbica;;;;;Samorzπdowe;;
185;Muzeum Regionalne w Gniewkowie;88-140;Gniewkowo;Gniewkowo;inowroc≥awski;KUJAWSKO-POMORSKIE;ul.;PodgÛrna;2;;;;;;;;Gmina Gniewkowo;;;;;Samorzπdowe;;
186;Muzeum Regionalne w Janowie Lubelskim;23-300;JanÛw Lubelski;JanÛw Lubelski;janowski;LUBELSKIE;ul.;Ogrodowa;3a;;;;;;;;Gmina JanÛw Lubelski;;;;;Samorzπdowe;;
187;Muzeum Regionalne w Jaúle;38-200;Jas≥o;Jas≥o;jasielski;PODKARPACKIE;ul.;Stanis≥awa Kadyiego;11;;;;;;;;Miasto Jas≥o;;;;;Samorzπdowe;;
188;Muzeum Regionalne w Jaworze ;59-400;Jawor;Jawor;jaworski;DOLNOåL•SKIE;ul.;Klasztorna;6;;;;;;;;Gmina Jawor;;;;;Samorzπdowe;;
189;Muzeum Regionalne w Kluczkowicach;24-300;Kluczkowice;Opole Lubelskie;opolski;LUBELSKIE;ul.;Kluczkowice;7;;;;;;;;Powiat Opolski;;;;;Samorzπdowe;;
190;Muzeum Regionalne w Krasnymstawie;22-300;Krasnystaw;Krasnystaw;krasnostawski;LUBELSKIE;ul.;Marsza≥ka JÛzefa Pi≥sudskiego;5A;;;;;;;;Powiat Krasnostawski;;;;;Samorzπdowe;;
191;Muzeum Regionalne w Kutnie;99-300;Kutno;Kutno;kutnowski;£”DZKIE;pl.;JÛzefa Pi≥sudskiego;20;;;;;;;;Miasto Kutno;;;;;Samorzπdowe;;
192;Muzeum Regionalne w Lubaniu;59-800;LubaÒ;LubaÒ;lubaÒski;DOLNOåL•SKIE;;Rynek - Ratusz ;;;;;;;;;Gmina Miejska LubaÒ;;;;;Samorzπdowe;;
193;Muzeum Regionalne w £ukowie;21-400;£ukÛw;£ukÛw;≥ukowski;LUBELSKIE;ul.;Pi≥sudskiego;19;;;;;;;;Powiat £ukowski;;;;;Samorzπdowe;;
194;Muzeum Regionalne w Opocznie;26-300;Opoczno;Opoczno;opoczyÒski;£”DZKIE;pl.;Zamkowy;1;;;;;;;;Gmina Opoczno;;;;;Samorzπdowe;;
195;Muzeum Regionalne w PiÒczowie;28-400;PiÒczÛw;Gacki;piÒczowski;åWI TOKRZYSKIE;ul.;Pi≥sudskiego;2a;;;;;;;;Gmina PiÒczÛw;;;;;Samorzπdowe;;
196;Muzeum Regionalne w Pleszewie;63-300;Pleszew;Kowalew;pleszewski;WIELKOPOLSKIE;ul.;PoznaÒska;34;;;;;;;;Miasto i Gmina Pleszew;;;;;Samorzπdowe;;
197;Muzeum Regionalne w Pu≥tusku;06-100;Pu≥tusk;Pu≥tusk;pu≥tuski;MAZOWIECKIE;ul.;Rynek;1;;;;;;;;Gmina Pu≥tusk;;;;;Samorzπdowe;;
198;Muzeum Regionalne w Siedlcach;08-110;Siedlce;Siedlce;m. Siedlce;MAZOWIECKIE;ul.;Pi≥sudskiego;1;;;;;;;;WojewÛdztwo Mazowieckie;;;;;Samorzπdowe;;
199;Muzeum Regionalne w Skawinie;32-050;Skawina;RadziszÛw;krakowski;MA£OPOLSKIE;ul.;Adama Mickiewicza;26;;;;;;;;Miasto i Gmina Skawina;;;;;Samorzπdowe;;
200;Muzeum Regionalne w S≥upcy;62-400;S≥upca;S≥upca;s≥upecki;WIELKOPOLSKIE;ul.;Warszawska;53;;;;;;;;Gmina Miejska S≥upca;;;;;Samorzπdowe;;
201;Muzeum Regionalne w Stalowej Woli;37-464;Stalowa Wola;Stalowa Wola;stalowowolski;PODKARPACKIE;ul.;Sandomierska;1;;;;;;;;Gmina Stalowa Wola;;;;2005-09-21;Samorzπdowe;;
202;Muzeum Regionalne w StÍszewie;62-060;StÍszew;Strykowo;poznaÒski;WIELKOPOLSKIE;ul.;Rynek;8;;;;;;;;Gmina StÍszew;;;;;Samorzπdowe;;
203;Muzeum Regionalne w Szczecinku;78-400;Szczecinek;ØÛ≥tnica;szczecinecki;ZACHODNIOPOMORSKIE;ul.;Szkolna;1;;;;;;;;Miasto Szczecinek ;;;;;Samorzπdowe;;
204;Muzeum Regionalne w årodzie ålπskiej;55-300;åroda ålπska;Kostom≥oty;úredzki;DOLNOåL•SKIE;pl.;Wolnoúci;3;;;;;;;;Powiat åredzki;;;;;Samorzπdowe;;
205;Muzeum Regionalne w åwiebodzinie;66-200;åwiebodzin;åwiebodzin;úwiebodziÒski;LUBUSKIE;Plac;Jana Paw≥a II;1;;;;;;;;Gmina åwiebodzin;;;;;Samorzπdowe;;
206;Muzeum Regionalne w Trzebnicy;55-100;Trzebnica;Paw≥Ûw Trzebnicki;trzebnicki;DOLNOåL•SKIE;ul.;Rynek;8;;;;;;;;Gmina Trzebnica;;;;;Samorzπdowe;2021-04-23 sprawa DDK-WM.6020.5.2021;
207;Muzeum Regionalne w Zwoleniu;26-700;ZwoleÒ;ZwoleÒ;zwoleÒski;MAZOWIECKIE;Aleja;Jana Paw≥a II;2;;;;;;;;Gmina ZwoleÒ;;;;;Samorzπdowe;;
208;Muzeum Regionalne Ziemi Limanowskiej ;34-600;Limanowa;Limanowa;limanowski;MA£OPOLSKIE;ul.;JÛzefa Marka;13;;;;;;;;Gmina Miasto Limanowa;;;;;Samorzπdowe;;
209;Muzeum Regionalne Ziemi Sulmierzyckiej im. Sebastiana Fabiana Klonowicza;63-750;Sulmierzyce;Chwaliszew;krotoszyÒski;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Miasto Sulmierzyce;;;;;Samorzπdowe;;
210;Muzeum Rolnictwa im. ks. Krzysztofa Klukaw Ciechanowcu;18-230;Ciechanowiec;Ciechanowiec;wysokomazowiecki;PODLASKIE;ul.;Pa≥acowa;5;;;;;;;;WojewÛdztwo Podlaskie;;;;1998-12-28;Samorzπdowe;;
211;Muzeum Romantyzmu w OpinogÛrze;06-406;OpinogÛra;OpinogÛra GÛrna;ciechanowski;MAZOWIECKIE;ul.;Zygmunta KrasiÒskiego;9;;;;;;;;Samorzπd WojewÛdztwa Mazowieckiego;;;;2015-04-01;Samorzπdowe;;
212;Muzeum Rybo≥Ûwstwa Morskiego w Niechorzu;72-350;Niechorze;Rewal;gryficki;ZACHODNIOPOMORSKIE;al.;Bursztynowa;28;;;;;;;;Gmina Rewal;;;;;Samorzπdowe;;
213;Muzeum Rzemios≥a w Kroúnie;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Pi≥sudskiego;19;;;;;;;;Gmina Krosno;;;;;Samorzπdowe;;
214;Muzeum Samorzπdowe Ziemi Strzyøowskiej im. Zygmunta Leúniaka w Strzyøowie;38-100;StrzyøÛw;StrzyøÛw;strzyøowski;PODKARPACKIE;ul.;I. £ukasiewicza;10;;;;;;;;Gmina StrzyøÛw;;;;;Samorzπdowe;;
215;Muzeum Saturn w Czeladzi;41-250;Czeladü;Czeladü;bÍdziÒski;åL•SKIE;ul.;DehnelÛw;10;;;;;;;;Gmina Miejska Czeladü;;;;;Samorzπdowe;;
216;Muzeum Solca im. KsiÍcia Przemys≥a w†Solcu Kujawskim;86-050;Solec Kujawski;Solec Kujawski;bydgoski;KUJAWSKO-POMORSKIE;ul.;ToruÒska;8;;;;;;;;Miasto i Gmina Solec Kujawski;;;;;Samorzπdowe;;
217;Muzeum Sopotu;81-724;Sopot;Sopot;m. Sopot;POMORSKIE;ul.;Poniatowskiego;8;;;;;;;;Gmina Miasta Sopotu;;;;;Samorzπdowe;;
218;Muzeum Sportu i Turystyki w Karpaczu;58-540;Karpacz;Karpacz;jeleniogÛrski;DOLNOåL•SKIE;ul.;Miko≥aja Kopernika;2;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;;Samorzπdowe;;
219;Muzeum Sportu i Turystyki w†Warszawie;01-531;Warszawa;Warszawa (Øoliborz);m. st. Warszawa;MAZOWIECKIE;ul.;Wybrzeøe GdyÒskie;4;;;;;;;;WojewÛdztwo Mazowieckie;;;;1998-12-28;Samorzπdowe;;
